_key,alternativeNames,createdAt,gadm,geojson.geometry.type,geojson.geometry.coordinates,geojson.type,geojson.properties,issues,name,social.rating,social.totalComments,touristic,type,updatedAt
"1021",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.76_1","Point",[-89.499083,20.581111],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Ecosul (Aguada)",,0,false,"WATERY","2021-05-16T23:59:17.680Z"
"1022",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.76_1","Point",[-89.429138,20.612555],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Si",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1023",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.80_1","Point",[-89.405194,20.579444],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Mukul kutz",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1024",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.80_1","Point",[-89.398388,20.577444],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Popol nah",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1025",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.76_1","Point",[-89.482194,20.745333],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Rodríguez",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1026",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.85_1","Point",[-87.691944,20.939722],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Ixim-Ha",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1027",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.85_1","Point",[-87.638055,20.945833],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Ixim-ha (Gruta)",,0,false,"DRY_CAVE","2021-05-16T23:59:17.680Z"
"1028",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.875,20.851944],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Kuxeb",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1029",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.843333,20.89],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Mucel",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"103",[],"2017-05-09T06:00:00.000Z","Gadm/MEX.31.104_1","Point",[-88.80453,20.68518],"Feature",{},[],"X",3.7142857142857144,7,false,"CENOTE","2021-05-16T23:59:17.680Z"
"1030",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.96_1","Point",[-87.688888,20.9525],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Naranjal",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1031",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.940833,20.650277],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Noria",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1032",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.683333,20.85],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Pozo I",,0,false,"WATER_WELL","2021-05-16T23:59:17.680Z"
"1033",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.671111,20.853055],"Feature",{},["GEOTAG_NOT_VERIFIED"],"San josé",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1034",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.96_1","Point",[-87.792222,20.952222],"Feature",{},["GEOTAG_NOT_VERIFIED"],"San Pedro",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1035",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.754166,20.844444],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Santa Cruz",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1036",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.85_1","Point",[-87.925555,20.817222],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Sisbichen I",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1037",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.85_1","Point",[-87.929166,20.82],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Sisbichen II",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1038",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.870555,20.831944],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Takbi ha",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1039",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.16_1","Point",[-88.033055,20.682222],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Takbi ha",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"104",[],"2017-05-10T06:00:00.000Z","Gadm/MEX.31.34_1","Point",[-89.15869,20.73209],"Feature",{},[],"Eh za'an",,0,false,"CENOTE","2021-05-16T23:59:17.680Z"
"1040",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.869166,20.864444],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Tuk",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1041",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-88.009444,20.763055],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Uspibil(Gruta)",,0,false,"DRY_CAVE","2021-05-16T23:59:17.680Z"
"1042",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.691111,20.839722],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Xcan",4.775,40,true,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1043",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.878333,20.583333],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X coca",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1044",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.23.2_1","Point",[-87.79,20.536111],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X hasil",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1045",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.861666,20.801388],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1046",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.648611,20.8525],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
